Metadata_target_list,Metadata_target_list_split_compact
AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1
CATSPER1|CATSPER2|CATSPER3|CATSPER4,CATSPER1|CATSPER2|CATSPER3|CATSPER4
DNMT1|DNMT3A,DNMT1|DNMT3A
FNTA|HRAS|KRAS|NRAS,FNTA|HRAS|KRAS|NRAS
GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,GABBR1|GABBR2|KCTD12|KCTD16|KCTD8
GHR|GHSR,GHR|GHSR
GUCY1A2|GUCY1A1|GUCY1B2|GUCY1B1,GUCY1A2|GUCY1A1|GUCY1B2|GUCY1B1
ITGAL|ITGB2,ITGAL|ITGB2
LPAR1|LPAR3,LPAR1|LPAR3
P2RY10|S1PR2,P2RY10|S1PR2
PTPN1|PTPN11|PTPN2,PTPN1|PTPN11|PTPN2
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,ADORA1
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,ADORA2A
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE3A
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE4A
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE4B
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE4C
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE4D
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE7A
ADORA1|ADORA2A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B,PDE7B
AKR1C1|ESR1|ESR2,AKR1C1
AKR1C1|ESR1|ESR2,ESR1
AKR1C1|ESR1|ESR2,ESR2
PDE3A|PDE4A|PDE4B|PDE4C|PDE4D,PDE3A
PDE3A|PDE4A|PDE4B|PDE4C|PDE4D,PDE4A
PDE3A|PDE4A|PDE4B|PDE4C|PDE4D,PDE4B
PDE3A|PDE4A|PDE4B|PDE4C|PDE4D,PDE4C
PDE3A|PDE4A|PDE4B|PDE4C|PDE4D,PDE4D
MME,MME
ANXA1|NOS2|NR0B1|NR3C1|NR3C2,ANXA1
ANXA1|NOS2|NR0B1|NR3C1|NR3C2,NOS2
ANXA1|NOS2|NR0B1|NR3C1|NR3C2,NR0B1
