INFO [2022-12-13 20:40:11] Logging to results/d895866b/run.log...
INFO [2022-12-13 20:40:11] 1.prepare_data and 2.calculate_index: skipping for because output files already exist.
INFO [2022-12-13 20:40:11] 3.calculate_metrics: skipping because output files already exist.
INFO [2022-12-13 20:40:11] Reading results/d895866b/metrics_level_1_0_non_rep.parquet ...
INFO [2022-12-13 20:40:11] Reading results/d895866b/metrics_level_1_non_rep.parquet ...
INFO [2022-12-13 20:40:11] Compute retrieval random baseline for m = 1, n = 287
INFO [2022-12-13 20:40:22] Compute retrieval random baseline for m = 2, n = 287
INFO [2022-12-13 20:40:33] Compute retrieval random baseline for m = 3, n = 287
INFO [2022-12-13 20:40:44] Compute retrieval random baseline for m = 4, n = 287
INFO [2022-12-13 20:40:55] Compute retrieval random baseline for m = 9, n = 287
INFO [2022-12-13 20:41:06] Compute retrieval random baseline for m = 6, n = 287
INFO [2022-12-13 20:41:17] Compute retrieval random baseline for m = 5, n = 287
INFO [2022-12-13 20:41:27] Compute retrieval random baseline for m = 8, n = 287
INFO [2022-12-13 20:41:38] Compute retrieval random baseline for m = 1, n = 286
INFO [2022-12-13 20:41:48] Compute retrieval random baseline for m = 4, n = 286
INFO [2022-12-13 20:41:59] Compute retrieval random baseline for m = 3, n = 286
INFO [2022-12-13 20:42:10] Compute retrieval random baseline for m = 5, n = 286
INFO [2022-12-13 20:42:21] Compute retrieval random baseline for m = 7, n = 287
INFO [2022-12-13 20:42:32] Compute retrieval random baseline for m = 2, n = 286
INFO [2022-12-13 20:42:44] Compute retrieval random baseline for m = 8, n = 286
INFO [2022-12-13 20:42:55] Compute retrieval random baseline for m = 6, n = 286
INFO [2022-12-13 20:43:06] Writing results/d895866b/metrics_level_1_non_rep_null_adjusted.parquet ...
